driverId,week,hours-logged,miles-logged
899,42,57,1000
518,34,55,3200
240,28,80,300
550,27,72,1100
874,50,71,3700
338,21,56,1000
948,33,69,2800
666,14,50,2500
856,40,60,1500
845,38,53,100
724,11,71,1300
414,8,80,100
79,10,53,3000
671,29,77,1500
829,13,51,2400
66,31,71,400
355,28,58,1000
225,44,53,3800
528,1,58,300
377,25,75,500
300,31,50,4000
913,31,68,1000
562,7,70,2200
917,1,54,1900
424,12,57,1300
204,48,75,3300
531,20,68,400
683,19,50,3800
690,24,68,1500
385,52,75,1000
82,44,79,1300
701,8,79,3600
187,29,75,2400
868,47,66,3100
1009,43,51,1800
266,3,51,2700
636,10,61,1900
509,12,61,3900
914,12,80,1100
531,38,66,400
88,44,78,3600
580,21,53,1300
255,23,59,2400
579,26,62,3800
518,44,66,1300
151,29,59,1800
942,8,69,3300
285,23,80,500
858,12,79,1700
877,14,65,3800
400,11,64,100
771,46,71,1000
92,46,56,2500
285,32,68,400
469,40,63,400
352,44,77,400
500,11,59,3500
849,1,65,1400
562,4,77,2600
85,37,68,2900
78,13,53,500
164,30,71,600
252,39,53,900
52,8,51,3400
575,50,58,2700
472,15,53,2700
413,15,69,3400
688,32,61,500
528,22,55,1600
254,31,54,2900
914,1,65,2200
303,33,56,3000
848,37,56,2100
637,14,79,2200
893,33,56,200
139,33,75,3400
643,12,67,2600
245,31,54,1200
313,35,52,1600
128,51,59,3500
491,48,51,600
148,1,80,600
652,31,73,1200
817,28,78,400
446,43,54,3700
449,35,80,2200
913,43,68,1100
703,34,62,800
506,6,68,4000
955,44,74,2500
794,13,59,2900
268,28,60,1400
950,33,52,1000
641,50,75,3900
728,49,67,0
194,18,69,3800
705,29,74,600
43,47,79,3400
102,38,71,4000
678,3,73,900
986,28,59,2700
852,34,50,1100
540,36,61,2200
178,51,63,2600
25,11,78,1800
357,21,53,700
596,30,56,2600
854,27,76,900
650,36,68,1900
947,8,68,400
512,47,64,700
900,33,72,200
716,46,51,3000
158,47,60,2400
551,24,51,1600
656,14,72,100
44,23,53,3600
65,41,61,2400
104,35,54,2200
673,17,69,2600
123,7,58,1700
1007,38,72,2000
424,14,51,1100
113,41,59,700
685,10,69,1600
803,18,71,800
719,9,70,3500
152,32,73,2800
403,12,66,100
477,30,75,3500
339,31,57,1400
203,40,56,2000
755,32,56,1600
501,2,70,2700
448,33,69,3400
542,5,79,2100
373,46,77,1000
992,48,71,2500
794,3,66,300
895,40,69,3100
350,44,78,2800
165,22,68,2200
334,36,52,800
685,19,71,3400
550,33,61,2800
633,28,54,2900
991,6,54,1900
247,25,75,1700
404,31,79,1700
889,25,65,0
949,42,71,900
651,26,79,2000
1002,10,72,1400
997,13,60,3300
155,1,59,0
683,45,67,400
767,25,51,2600
665,46,56,1400
629,48,55,3300
440,11,64,3800
555,42,64,400
254,6,60,1400
640,31,62,400
140,19,76,2700
802,5,51,1500
116,23,64,0
95,51,60,1400
438,9,80,1200
366,22,71,400
756,37,63,200
476,1,51,0
54,42,76,1700
635,10,60,3900
401,36,52,4000
77,39,53,1400
633,3,52,3700
642,2,60,3600
516,17,75,3600
572,42,65,1300
545,18,79,1500
989,49,80,1000
409,25,64,2600
916,28,79,1700
221,35,77,400
791,5,58,3200
305,2,73,2700
442,29,59,1300
969,46,73,1100
950,33,72,4000
675,17,70,1300
946,21,76,800
511,43,71,1300
914,31,67,600
362,21,58,2100
839,2,57,2000
901,41,68,1400
637,20,57,3700
868,6,63,1400
967,23,74,2300
110,35,51,300
902,46,67,1300
952,42,70,3300
244,40,51,1800
293,38,51,900
827,22,80,1800
864,46,75,2700
443,11,76,3200
569,27,61,2400
657,27,59,200
895,10,71,1200
580,17,79,2200
602,52,72,3200
883,14,80,2900
455,47,61,3200
25,41,67,1600
510,24,65,1100
753,31,57,2900
718,8,54,0
413,45,53,3200
512,4,60,3000
993,34,77,2400
846,42,73,3600
497,41,54,300
964,42,64,1000
822,35,70,2100
267,15,78,1900
129,3,69,1100
348,12,61,900
436,2,64,700
515,13,70,2400
692,51,72,2500
576,34,55,1200
381,16,70,2700
614,34,63,1400
1007,33,68,400
723,50,56,2900
658,25,72,3000
96,16,57,3200
498,5,57,2500
554,9,73,2600
940,29,50,200
723,7,71,1900
43,52,72,600
636,18,60,100
78,47,65,3600
550,12,79,1800
51,6,78,4000
309,32,69,800
145,42,62,2800
778,36,53,2100
378,50,58,1200
946,15,66,200
983,14,77,2000
24,38,52,3000
441,41,74,3100
453,35,77,700
353,49,76,300
399,44,79,3200
48,50,80,2800
519,23,53,2100
768,30,55,3500
472,6,56,2100
526,10,51,2100
715,20,52,2100
673,22,70,2400
908,3,63,500
556,29,78,1000
740,39,57,2800
679,45,70,400
578,23,53,100
418,48,77,3500
768,16,63,1100
158,50,54,3900
563,39,72,1100
550,38,58,3800
328,19,66,1500
843,10,70,3700
38,41,60,300
836,18,66,300
691,3,62,1400
737,8,69,4000
41,5,54,1700
116,16,64,3500
677,36,67,1000
498,48,65,1200
47,2,78,600
28,24,64,2700
634,40,53,0
836,19,51,3200
289,49,63,1900
530,21,62,2300
843,51,50,1000
763,24,68,3900
363,52,78,2800
356,29,77,3900
618,16,70,3900
799,20,51,2900
943,36,79,3300
324,32,77,900
780,27,59,200
259,22,57,3200
15,17,51,1500
393,11,54,1600
230,45,78,700
599,8,76,2100
1003,21,63,2700
863,1,61,3900
412,15,74,400
700,46,53,1300
639,16,69,2300
529,35,52,3600
777,20,63,3000
798,40,51,2200
385,50,69,2600
268,38,65,1400
86,20,65,2800
263,50,53,2800
573,41,76,2600
557,12,71,3900
706,9,57,1600
416,19,61,3900
990,2,77,2500
684,11,59,1400
76,22,50,1200
146,48,56,100
914,21,64,2000
1007,18,52,500
966,52,60,2000
863,14,66,3900
485,41,74,2600
994,16,52,2400
277,35,56,2500
530,47,63,2200
818,1,60,400
593,16,74,3800
488,46,54,3300
554,20,65,3800
734,10,58,3100
485,27,71,3500
271,38,70,1600
35,40,65,600
273,8,70,600
31,6,79,500
976,7,56,3400
653,25,51,100
360,24,69,1600
460,10,55,200
537,9,66,800
650,35,73,2100
305,19,59,2100
99,2,75,2200
834,9,60,3900
996,36,55,700
231,34,75,3200
372,14,68,4000
407,22,79,3900
262,38,69,2000
443,52,65,2000
207,26,69,3300
420,24,54,1000
113,22,57,2300
947,36,52,2400
642,22,56,3200
979,41,65,900
789,45,69,300
925,44,78,2600
465,16,56,2100
845,4,61,100
680,3,60,200
24,29,52,2500
314,49,77,1000
415,20,57,3200
773,34,62,300
294,25,70,3700
410,45,68,3000
479,36,60,2400
354,44,77,1000
19,24,54,300
774,28,63,3000
419,52,68,4000
466,15,79,2100
21,31,70,3900
821,29,73,1900
761,15,56,2200
413,45,65,2100
546,33,53,0
1007,40,57,1300
93,38,58,300
302,43,70,1200
201,26,55,500
687,45,51,100
125,7,74,600
713,6,74,100
96,13,51,2700
54,4,79,300
842,40,61,2100
734,20,56,1000
304,28,80,1300
340,10,80,3400
973,18,78,1500
287,38,73,1800
767,24,55,2400
659,27,60,3300
304,3,53,2400
353,13,67,4000
750,43,58,3900
797,13,66,1400
142,40,77,2800
653,24,67,600
520,37,73,300
903,21,72,300
919,17,68,2400
517,49,63,1800
901,22,57,2200
818,15,62,2000
523,9,75,3200
584,40,51,500
571,37,71,2500
103,27,57,500
622,52,80,1500
526,10,69,1400
871,17,79,1300
881,39,56,100
763,20,74,1300
1004,50,52,1300
45,30,51,1500
119,28,66,200
418,40,75,3100
348,14,64,2800
581,44,57,3400
766,28,76,400
375,52,61,1000
458,36,74,2600
899,30,74,2900
720,2,52,1500
425,23,61,900
873,28,68,800
613,12,55,3500
851,24,51,3700
65,41,75,1900
1006,7,63,3000
124,42,52,400
614,35,66,0
64,21,75,100
964,20,72,1400
533,6,79,100
723,23,77,0
373,26,58,600
337,42,60,2500
985,11,57,2700
51,31,55,300
692,10,71,3800
257,30,50,1500
663,50,58,3500
596,40,57,3500
349,22,61,200
257,3,51,3500
206,20,57,3900
923,48,68,2700
186,8,68,800
916,10,59,1700
101,28,71,1800
173,6,69,3600
850,10,75,2300
126,6,66,3300
853,49,80,2300
852,12,57,2400
168,32,65,1400
399,17,73,1300
519,42,58,2500
55,47,56,2500
569,43,62,2100
750,5,77,1400
625,11,69,600
498,12,78,500
69,47,72,2000
902,39,53,2300
224,33,73,2300
594,22,77,1800
862,45,80,3200
836,42,58,3300
139,20,67,800
90,36,70,1100
509,41,72,3600
386,7,79,2400
1002,6,51,3000
950,6,72,2500
802,12,55,3800
851,33,61,3700
593,13,62,3300
787,33,59,1400
399,46,69,3600
193,51,52,300
365,30,68,300
1005,45,63,1700
456,18,64,1400
291,9,69,1700
169,51,67,400
831,37,56,2100
979,31,73,3400
585,6,52,500
180,40,60,2500
858,28,67,1400
412,5,62,2000
919,25,61,2200
170,43,52,2400
1002,39,63,3600
146,46,60,200
220,29,65,2700
456,49,74,1900
960,6,71,2200
702,52,54,1300
285,34,57,2500
381,52,51,0
941,49,61,700
67,24,69,2100
409,37,54,1600
320,25,78,1000
943,37,61,1000
813,23,51,1700
818,16,71,3700
489,17,57,3100
446,29,61,1800
525,21,61,3400
144,31,66,3200
817,10,65,2300
214,4,79,3900
505,21,73,3700
545,13,63,200
23,22,71,1000
473,3,66,800
42,12,77,2400
384,32,71,3200
975,46,61,100
691,10,80,3100
368,19,73,500
740,17,64,800
645,43,68,1300
746,8,65,2800
93,50,50,200
872,46,56,3600
292,25,52,400
70,30,62,2000
715,28,61,1900
952,23,67,3300
227,47,50,2200
1003,8,54,0
420,42,77,3700
972,45,60,1100
867,5,72,3400
697,36,67,600
281,1,70,1100
444,16,65,2200
16,31,71,3900
311,17,73,3300
106,29,53,3400
391,19,60,3700
187,24,72,3000
389,35,71,900
405,35,53,2900
967,45,63,2800
595,7,59,4000
99,27,50,1800
219,10,64,500
847,34,74,3600
485,51,55,1200
721,41,64,1900
668,48,50,1000
518,42,67,0
187,43,59,2400
44,16,51,200
595,18,72,900
955,10,57,2300
146,43,79,600
120,7,66,1000
786,47,68,2700
296,38,66,3700
522,30,62,3600
304,26,61,2600
42,16,55,2900
637,1,60,700
722,19,72,100
316,52,69,2400
183,20,78,2900
203,13,71,3900
680,49,51,1300
644,3,72,2300
789,33,53,3200
712,22,69,3800
710,34,73,1000
192,21,59,400
666,5,64,1900
472,49,51,3500
416,5,67,3900
141,19,78,3100
343,11,60,200
961,22,57,3300
27,49,57,2700
424,29,61,2200
879,6,78,2700
57,34,76,2400
586,35,76,200
218,35,68,1600
164,10,61,1400
638,51,77,1500
780,51,52,2000
584,10,77,3800
713,20,51,1000
722,18,57,1000
478,46,51,3000
441,39,56,2500
215,4,58,3600
672,29,70,3300
383,41,64,500
76,29,64,3400
271,12,76,3200
577,51,63,4000
135,18,65,300
119,25,78,100
1004,29,67,3100
61,15,67,600
876,47,56,3700
999,18,54,3600
441,39,62,1300
339,15,66,700
82,38,76,1000
625,15,57,2700
563,51,76,1600
586,52,66,3300
401,36,70,3900
778,22,56,1300
1003,35,59,3300
717,19,78,2200
55,36,75,1000
518,33,72,100
347,38,53,2700
809,14,77,3000
454,49,51,1500
536,26,70,2700
519,10,64,900
270,49,71,2700
288,27,71,1900
502,50,62,3700
86,51,61,600
510,36,61,3800
875,17,80,0
